"","participant","distr_cond","Q1_resp","Q2_resp","Q2_corr_ans","Q2_corr","Q3_resp"
"1","E1_01_GQ","unequal",1,3,4,0,1
"2","E1_02_PP","unequal",2,2,3,0,1
"3","E1_03_AH","unequal",2,4,4,1,3
"4","E1_XF","unequal",2,3,3,1,2
"5","E1_05_SX","unequal",1,1,4,0,1
"6","E1_06_MB","unequal",2,4,3,0,2
"7","E1_07_HS","unequal",1,1,4,0,2
"8","E1_08_UA","unequal",1,2,3,0,2
"9","E1_09_BK","unequal",2,2,4,0,1
"10","E1_10_ZK","unequal",2,4,3,0,1
"11","E1_11_MS","unequal",1,2,4,0,1
"12","E1_12_JM","unequal",1,3,3,1,2
"13","E1_13_GV","unequal",1,4,4,1,1
"14","E1_14_VB","unequal",1,1,3,0,1
"15","E1_15_SS","unequal",1,4,4,1,1
"16","E1_16_THL","unequal",2,1,3,0,2
"17","E1_17_JSM","unequal",1,1,4,0,3
"18","E1_18_YP","unequal",1,4,3,0,1
"19","E1_19_AM","unequal",2,4,4,1,2
"20","E1_20_MK","unequal",1,3,3,1,1
"21","E1_21_RNB","unequal",1,4,4,1,1
"22","E1_22_LIU","unequal",1,1,3,0,1
"23","E1_23_JX","unequal",1,4,4,1,3
"24","E1_24_RMS","unequal",2,2,3,0,1
"25","E2_01_JM","equal",2,2,4,0,1
"26","E2_02_YN","equal",1,3,3,1,2
"27","E2_03_XY","equal",2,1,4,0,1
"28","E2_04_ER","equal",1,3,3,1,1
"29","E2_05_YS","equal",2,4,4,1,3
"30","E2_06_ER","equal",2,1,3,0,2
"31","E2_07_NS","equal",1,4,4,1,2
"32","E2_08_YW","equal",2,2,3,0,2
"33","E2_09_WYY","equal",1,2,4,0,1
"34","E2_10_SSW","equal",2,4,3,0,1
"35","E2_11_FS","equal",2,2,4,0,1
"36","E2_12_AH","equal",2,4,3,0,2
"37","E2_13_HAB","equal",1,4,4,1,3
"38","E2_14_RS","equal",1,1,3,0,1
"39","E2_15_LL","equal",2,1,4,0,1
"40","E2_16_BK","equal",1,1,3,0,2
"41","E2_17_HS","equal",2,4,4,1,1
"42","E2_18_PP","equal",2,2,3,0,1
"43","E2_19_JX","equal",1,2,4,0,3
"44","E2_20_JW","equal",2,1,3,0,2
"45","E2_21_SM","equal",2,4,4,1,2
"46","E2_22_GV","equal",1,1,3,0,1
"47","E2_23_YS","equal",1,2,4,0,1
"48","E2_24_YY","equal",2,4,3,0,2
